id,genres
ts20305,comedy
ts20305,animation
ts20305,action
ts20305,fantasy
ts20305,thriller
ts15151,scifi
ts15151,action
ts15151,animation
ts15151,fantasy
ts15151,thriller
ts15151,comedy
ts15151,drama
ts15151,horror
ts31799,action
ts31799,drama
ts31799,thriller
ts31799,animation
ts31799,comedy
ts20513,scifi
ts20513,animation
ts20513,comedy
ts20513,action
ts20513,fantasy
ts35155,scifi
ts35155,action
ts35155,comedy
ts35155,drama
ts35155,animation
ts26050,scifi
ts26050,action
ts26050,drama
ts26050,thriller
ts26050,animation
ts26050,fantasy
ts26050,horror
ts29406,action
ts29406,comedy
ts29406,scifi
ts29406,animation
ts20548,comedy
ts20548,drama
ts20548,animation
ts20548,thriller
ts20548,action
ts20548,scifi
ts20548,fantasy
ts20548,romance
ts22017,action
ts22017,drama
ts22017,scifi
ts22017,animation
ts26322,animation
ts26322,romance
ts26322,comedy
ts26322,drama
ts47142,scifi
ts47142,animation
ts47142,action
ts47142,comedy
ts47142,fantasy
ts29252,scifi
ts29252,animation
ts29252,comedy
ts29252,romance
ts31455,action
ts31455,family
ts31455,fantasy
ts31455,scifi
ts31455,animation
ts24199,action
ts24199,scifi
ts24199,drama
ts24199,war
ts24199,animation
ts20308,scifi
ts20308,comedy
ts20308,romance
ts20308,animation
ts20308,action
ts53585,animation
ts53585,drama
ts53585,thriller
ts53585,comedy
ts53585,fantasy
ts53585,horror
ts42441,animation
ts42441,action
ts42441,comedy
ts42441,crime
ts42441,thriller
ts30083,scifi
ts30083,action
ts30083,comedy
ts30083,drama
ts30083,fantasy
ts30083,animation
ts12930,animation
ts12930,thriller
ts12930,action
ts12930,family
ts12930,fantasy
ts20593,action
ts20593,animation
ts20593,comedy
ts20593,romance
ts32478,drama
ts32478,animation
ts32478,action
ts32478,thriller
ts20544,comedy
ts20544,drama
ts20544,animation
ts20544,romance
ts40775,drama
ts40775,animation
ts40775,romance
ts40775,comedy
ts26449,scifi
ts26449,comedy
ts26449,drama
ts26449,fantasy
ts26449,romance
ts26449,animation
ts26449,action
ts52881,comedy
ts52881,animation
ts52881,drama
ts52881,music
ts52881,romance
ts31181,animation
ts31181,romance
ts31181,comedy
ts31181,drama
ts31181,fantasy
ts29076,action
ts29076,animation
ts29076,comedy
ts29076,fantasy
ts17906,comedy
ts17906,scifi
ts17906,action
ts17906,fantasy
ts17906,animation
ts30079,comedy
ts30079,animation
ts30079,drama
ts30079,romance
ts33291,scifi
ts33291,action
ts33291,animation
ts33291,fantasy
ts1401,animation
ts1401,comedy
ts33198,drama
ts33198,romance
ts33198,thriller
ts33198,animation
ts23967,drama
ts23967,scifi
ts23967,animation
ts23967,fantasy
ts27365,scifi
ts27365,romance
ts27365,animation
ts27365,comedy
ts27365,fantasy
ts36105,scifi
ts36105,animation
ts36105,comedy
ts36105,family
ts44317,scifi
ts44317,animation
ts44317,drama
ts44317,thriller
ts31990,comedy
ts31990,animation
ts30146,comedy
ts30146,romance
ts26428,scifi
ts26428,fantasy
ts26428,animation
ts26428,action
ts32450,comedy
ts32450,sport
ts32450,animation
ts32450,action
ts12816,drama
ts12816,comedy
ts12816,sport
ts12816,animation
ts35960,action
ts35960,drama
ts35960,romance
ts35960,animation
ts35960,comedy
ts16399,scifi
ts16399,animation
ts16399,action
ts16399,comedy
ts16399,drama
ts16399,fantasy
ts19187,animation
ts19187,comedy
ts19187,family
ts21539,action
ts21539,animation
ts21539,family
ts21539,fantasy
tm176185,drama
tm176185,animation
tm176185,action
tm176185,fantasy
ts30449,action
ts30449,drama
ts30449,scifi
ts30449,animation
ts30449,history
ts25765,scifi
